School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,38.33%,26.32%,26.65%,8.70%,79,242,239,348
2018-2019,Non-Native Students,21.25%,20.57%,33.75%,24.43%,2411,3330,2030,2097
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,49.86%,25.00%,18.61%,6.52%,48,137,184,367
2020-2021,Non-Native Students,25.60%,22.42%,29.87%,22.11%,1895,2560,1921,2194
2021-2022,American Indian Students,51.15%,21.02%,19.86%,7.97%,69,172,182,443
2021-2022,Non-Native Students,25.37%,22.70%,30.16%,21.77%,2077,2877,2166,2420
2022-2023,American Indian Students,49.69%,27.69%,15.33%,7.29%,59,124,224,402
2022-2023,Non-Native Students,28.75%,21.90%,28.84%,20.51%,1923,2704,2054,2696
