School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,59.05%,22.86%,12.10%,5.99%,54,109,206,532
2018-2019,Non-Native Students,29.61%,30.37%,21.21%,18.81%,1688,1903,2725,2657
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,61.62%,24.70%,8.37%,5.31%,40,63,186,464
2020-2021,Non-Native Students,35.73%,29.80%,19.67%,14.80%,1273,1692,2564,3074
2021-2022,American Indian Students,64.96%,22.60%,8.73%,3.71%,34,80,207,595
2021-2022,Non-Native Students,37.79%,28.63%,19.31%,14.28%,1349,1824,2705,3570
2022-2023,American Indian Students,63.70%,22.37%,8.78%,5.15%,44,75,191,544
2022-2023,Non-Native Students,35.83%,29.21%,19.58%,15.37%,1448,1845,2752,3376
