School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,32.91%,39.20%,20.34%,7.54%,66,178,343,288
2018-2019,Non-Native Students,17.14%,33.19%,30.33%,19.34%,1841,2887,3159,1632
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,41.57%,36.12%,17.66%,4.65%,35,133,272,313
2020-2021,Non-Native Students,21.12%,35.09%,28.87%,14.93%,1312,2537,3084,1856
2021-2022,American Indian Students,45.14%,33.54%,15.71%,5.61%,45,126,269,362
2021-2022,Non-Native Students,20.26%,34.03%,28.97%,16.74%,1560,2700,3171,1888
2022-2023,American Indian Students,41.61%,32.60%,19.34%,6.45%,53,159,268,342
2022-2023,Non-Native Students,19.22%,32.08%,29.97%,18.73%,1756,2809,3007,1802
