School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,40.98%,29.33%,22.58%,7.12%,58,184,239,334
2018-2019,Non-Native Students,20.65%,26.19%,33.39%,19.77%,1826,3083,2418,1907
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,50.34%,27.42%,17.60%,4.64%,34,129,201,369
2020-2021,Non-Native Students,23.60%,28.72%,31.99%,15.68%,1348,2750,2469,2029
2021-2022,American Indian Students,51.33%,27.18%,16.56%,4.93%,39,131,215,406
2021-2022,Non-Native Students,23.67%,27.47%,31.34%,17.52%,1630,2915,2555,2202
2022-2023,American Indian Students,48.85%,29.56%,16.46%,5.14%,49,157,282,466
2022-2023,Non-Native Students,23.03%,26.97%,30.85%,19.16%,1788,2879,2517,2149
