School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,41.93%,27.96%,22.29%,7.83%,417,1187,1489,2233
2018-2019,Non-Native Students,21.54%,24.10%,33.21%,21.15%,12014,18860,13690,12233
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,45.66%,28.43%,19.31%,6.61%,310,906,1334,2143
2020-2021,Non-Native Students,24.16%,25.25%,31.82%,18.77%,9877,16739,13282,12712
2021-2022,American Indian Students,48.06%,26.50%,19.14%,6.30%,326,990,1371,2486
2021-2022,Non-Native Students,24.53%,25.31%,31.29%,18.87%,10694,17727,14340,13898
2022-2023,American Indian Students,49.02%,26.86%,18.07%,6.05%,314,937,1393,2542
2022-2023,Non-Native Students,25.86%,25.08%,30.45%,18.61%,10471,17132,14107,14548
