School Year,Race,Novice,Nearing Proficient,Proficient,Advanced,Advanced Students,Proficient Students,Nearing Proficient Students,Novice Students
2018-2019,American Indian Students,45.36%,31.61%,16.29%,6.74%,358,865,1678,2408
2018-2019,Non-Native Students,23.25%,30.83%,26.33%,19.59%,11116,14941,17499,13198
2019-2020,American Indian Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-2020,Non-Native Students,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-2021,American Indian Students,54.40%,28.57%,12.30%,4.73%,219,570,1324,2521
2020-2021,Non-Native Students,28.50%,32.41%,24.08%,15.01%,7820,12543,16880,14846
2021-2022,American Indian Students,56.03%,27.58%,11.75%,4.64%,236,598,1404,2852
2021-2022,Non-Native Students,28.63%,31.34%,24.06%,15.97%,8916,13438,17501,15991
2022-2023,American Indian Students,55.36%,27.11%,12.61%,4.92%,254,651,1399,2857
2022-2023,Non-Native Students,28.26%,30.66%,24.12%,16.96%,9527,13554,17223,15879
